id,CITY,COUNT,SUBJ,SEX,AGE,RELI,PRAC,FOCC,MOCC,FIEL,EMOT,WHEN,LONG,INTS,ERGO,TROPHO,TEMPER,EXPRES,MOVE,EXP1,EXP2,EXP10,PARAL,CON,EXPC,PLEA,PLAN,FAIR,CAUSE,COPING,MORL,SELF,RELA,VERBAL,NEUTRO,FIELD1,FIELD3,FIELD2,MYKEY,SIT,STATE
11007,1,1,7,2,35,0,2,0,8,2,3,2,4,4,3,0,2,0,0,0,0,1,1,1,1,3,3,3,3,5,3,3,0,3,0,anger,4,4,110073,When my partner was attacked and lost three teeth.,1
11007,1,1,7,2,35,0,2,0,8,2,6,4,4,4,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,5,0,0,0,0,0,shame,4,4,110076,When I saw my 18 year old son grab an oxygen mask as he had à breathing difficulties.  I had a bad conscience because I had not à stopped smoking.  Medication for the dilation of his breathing à tubes also caused a sense of guilt in me.,1
11008,1,1,8,2,34,1,2,7,7,2,1,4,3,4,2,1,1,4,1,1,1,0,1,1,3,1,1,0,4,5,1,3,3,3,2,joy,3,4,110081,When my child was born.,1
11008,1,1,8,2,34,1,2,7,7,2,2,4,1,4,3,0,0,1,0,0,0,0,0,1,1,3,3,1,0,1,2,2,2,2,0,fear,1,4,110082,"It was winter/spring and the ice was melting.  I was far out on a à jetty and I poked the ice with a long branch to try and break it. à  The branch went through the ice and I fell in, the water closed à in over my head.",1
11009,1,1,9,2,24,1,1,7,7,2,3,3,3,4,0,1,0,0,0,0,0,0,0,1,2,3,2,1,3,1,3,2,0,3,1,anger,3,4,110093,"When I heard on the radio that the football match in Belgium had à ended in a catastrophe, and several people had died.  I could not à  understand how normal people could behave in such a way.",1
11009,1,1,9,2,24,1,1,7,7,2,6,4,4,4,0,0,2,0,0,0,0,0,0,3,2,3,3,3,2,2,3,1,1,1,0,shame,4,4,110096,"I lied, to be precise I cancelled a meeting with a good friend.",1
11011,1,1,11,1,25,1,2,7,6,2,7,2,4,4,1,2,0,1,0,0,0,0,1,3,2,1,3,0,0,0,3,1,0,1,2,guilt,4,4,110117,I was the reason behind the break-up of my friend's relationship à with his girlfriend.  She finished with him.,1
11012,1,1,12,1,23,1,2,7,6,2,2,3,2,4,1,0,-1,1,0,0,0,0,0,1,2,3,0,1,4,5,1,3,3,1,0,fear,2,4,110122,"On the way back from Denmark with a friend on a small yatch, à there was a storm and my friend was blown overboard;  I was very à scared till I managed to get him back onboard.",1
11012,1,1,12,1,23,1,2,7,6,2,5,3,4,4,1,0,-1,1,0,0,0,1,0,1,1,3,0,0,2,1,3,2,1,3,0,disgust,4,4,110125,I found some worms in the food and I had obviously eaten some.,1
11013,1,1,13,2,22,1,2,7,4,2,1,4,3,4,1,0,0,1,0,1,0,0,0,1,1,1,0,0,4,4,0,0,0,3,0,joy,3,4,110131,When I won a trip to Greece in a competition.,1
11015,1,1,15,1,26,0,2,7,6,2,6,4,4,4,1,0,-1,0,-1,0,0,0,1,3,2,3,1,1,1,5,3,1,2,0,0,shame,4,4,110156,When I dropped a bottle in the state liquor store and everyboby à started laughing.,1
11016,1,1,16,2,33,1,2,4,4,2,2,4,2,4,4,1,-1,1,-1,0,0,0,0,1,1,3,3,3,1,1,1,1,3,1,1,fear,2,4,110162,"When I could not find my 2 year old daughter.  I ran and looked à for her everywhere and could not find her.  (I finally found her, à she had gone to bed to sleep)",1
11016,1,1,16,2,33,1,2,4,4,2,3,4,4,4,1,0,0,1,0,0,0,0,0,3,1,3,3,3,2,3,3,1,1,0,0,anger,4,4,110163,When friends try to put me down or hurt me.  ,1
11016,1,1,16,2,33,1,2,4,4,2,4,4,4,4,2,2,0,2,-1,0,1,0,0,3,3,3,3,1,0,1,0,1,1,0,3,sadness,4,4,110164,Marriage crises.  Boredom.,1
11016,1,1,16,2,33,1,2,4,4,2,5,4,2,4,1,1,-1,0,-1,0,0,0,0,1,2,3,3,2,2,3,2,1,1,0,1,disgust,2,4,110165,When someone makes advances that one does not want.,1
11016,1,1,16,2,33,1,2,4,4,2,7,4,4,4,2,1,-1,1,0,0,0,0,1,3,2,3,3,3,1,1,3,1,3,2,1,guilt,4,4,110167,When I spanked a child in anger and later regretted it terribly.,1
11017,1,1,17,2,23,1,0,9,5,2,4,2,4,4,0,1,0,0,0,0,0,0,0,2,2,3,3,1,1,3,1,1,1,0,1,sadness,4,4,110174,Last year when I worked during the Summer holidays and studied à at the same time for an examination I had to repeat; my boyfriend à went to Greece for a holiday for a month.,1
11019,1,1,19,1,30,1,2,5,1,2,1,4,4,4,1,0,1,1,0,1,0,0,1,1,2,1,1,1,1,3,1,3,0,2,0,joy,4,4,110191,The day I was told that I had been accepted as a student of à economics.,1
11019,1,1,19,1,30,1,2,5,1,2,3,2,2,4,2,0,0,0,0,0,0,0,1,2,1,3,0,1,3,5,3,0,1,0,0,anger,2,4,110193,"At a restaurant I observed how the gypsies tried to get money by à cheating the foreigners i.e non Swedish speaking.  My anger had à nothing to do with hatred against foreigners, but it was an à expression of the anger I feel when I see people being used .",1
11019,1,1,19,1,30,1,2,5,1,2,5,1,2,4,3,0,0,0,0,0,0,0,0,1,0,3,0,0,3,1,3,1,1,3,0,disgust,2,4,110195,While walking in town I noticed how the police harrassed a man à who was under the influence of alcohol.  They terrified him with à the thought of arrest by driving close behind him on a pedestrian à street.  My disgust was directed at the gestures and the facial à expressions of the policemen; they seemed to be enjoying à themselves.,1
11019,1,1,19,1,30,1,2,5,1,2,7,1,2,4,1,1,0,2,0,0,0,0,0,3,3,1,2,0,2,4,3,3,3,0,1,guilt,2,4,110197,"When I am dishonest to a friend to whom I am very close.  I à feel guilty because I know that he gives a different version of à the truth and I have not corrected these mistakes, and he is à aware that I know that they are wrong.",1
11021,1,1,21,2,30,1,2,4,1,2,1,4,4,4,1,0,0,2,1,1,1,0,0,1,3,0,2,0,1,4,1,3,3,2,1,joy,4,4,110211,When I gave birth to my son and saw that he was alive and that I à had managed it well.  He was born a month too early with a à malfunctioning lung.  This happened a year ago.,1
11021,1,1,21,2,30,1,2,4,1,2,2,3,4,4,2,1,-1,1,0,0,1,0,0,2,2,3,0,1,0,1,0,0,2,0,2,fear,4,4,110212,When I found out that my father had lung cancer and they did not à know how long he would live.,1
11022,1,1,22,1,24,1,2,8,4,2,1,4,4,4,1,0,1,1,1,1,0,0,0,1,1,1,1,0,4,5,0,3,3,3,0,joy,4,4,110221,"New year's eve 1983/1984, I met my girlfriend.  We stood on the à steps outside her parents home and I kissed her for the à first time.",1
11022,1,1,22,1,24,1,2,8,4,2,2,3,3,4,4,1,2,2,0,0,0,0,2,3,1,3,0,1,1,2,2,1,0,0,1,fear,3,4,110222,"When I was stopped by plain clothes policemen because the car I à was driving had overturned on the Avenue.  I had been driving too à fast, and I was afraid when I was stopped, questionned and then à toild to go.  The situation ended happily since there were no à consequences.",1
11022,1,1,22,1,24,1,2,8,4,2,4,4,4,4,3,1,0,2,1,0,1,0,0,2,2,3,0,0,4,1,0,0,2,2,2,sadness,4,4,110224,"A close acquaintance of the family died of lung cancer.  à Although it was expected, I still felt depressed.",1
11022,1,1,22,1,24,1,2,8,4,2,6,3,4,4,1,1,-1,0,-1,0,0,0,0,3,3,1,1,0,1,3,3,1,1,0,1,shame,4,4,110226,One night I had a sexual intercourse with another man.  My sexual à desire and my curiosity had made me jump into bed with him.  I am à ashamed of myself now.,1
11023,1,1,23,1,25,8,2,7,5,2,2,4,2,4,2,0,0,0,-1,0,0,0,0,3,2,3,0,1,3,2,0,2,1,0,0,fear,2,4,110232,I met intoxicated people with dubious intentions in a back alley à one Wednesday night.,1
21011,1,2,11,1,30,8,2,8,4,9,3,2,1,4,2,0,0,1,0,0,0,0,0,1,1,3,3,3,3,5,3,3,2,1,0,anger,1,4,210113,Being treated unfairly.,1
21012,1,2,12,2,23,1,1,4,5,9,2,4,4,4,4,0,-1,1,1,0,0,0,1,3,1,3,0,3,0,1,0,0,0,1,0,fear,4,4,210122,"When I was the first to arrive at the scene after an accident, à and found that a close school friend had been killed.",1
41019,1,4,19,2,33,8,2,6,1,9,1,4,3,4,0,0,1,2,0,1,0,0,0,1,1,1,3,1,4,1,1,3,3,1,0,joy,3,4,410191,"A couple of years ago during the summer holiday, I was fishing at à a lake with my husband.  Suddenly it started raining while the à sun was still shining. I experienced a feeling of joy, happiness à and fulfillment.  the whole nature was full of music.",1
41019,1,4,19,2,33,8,2,6,1,9,2,4,1,4,4,0,0,0,0,0,0,0,0,1,2,3,0,0,1,4,1,2,0,0,0,fear,1,4,410192,"I was alone at home, in bed reading a womens' magazine in which à there were storiees of paranormal experiences.  My leg was à itching and I stretched my hand to scratch and I felt another à strange hand. (later I realized that it was the corner of the à blanket)",1
41019,1,4,19,2,33,8,2,6,1,9,5,1,1,4,1,1,-1,2,0,0,0,0,0,2,1,3,0,0,3,1,0,2,2,0,1,disgust,1,4,410195,"In the tram there was a fat, sickly looking woman in front of me à who was asking for directions in a thick voice.  When she got up to à go a disgusting smell of urine came from her.  I felt that I à would choke.",1
41020,1,4,20,2,26,1,2,7,6,2,2,3,4,4,2,1,0,1,-1,0,0,0,0,3,2,3,0,0,1,5,0,1,0,0,1,fear,4,4,410202,"I went to practice in Sweden during summer, and I was afraid that à I would not do well.",1
41020,1,4,20,2,26,1,2,7,6,2,4,3,4,4,2,1,0,2,0,0,1,0,0,1,0,3,0,0,0,1,0,2,2,0,2,sadness,4,4,410204,My grandmother died suddenly last summer.,1
41020,1,4,20,2,26,1,2,7,6,2,5,3,4,4,2,1,0,1,-1,0,0,0,0,1,1,3,0,3,3,1,3,0,1,0,1,disgust,4,4,410205,"My superior at the summer job swindled customers as much as he à could, and once put me in a difficult situation after which I à could not but detest him.",1
41021,1,4,21,2,22,1,2,8,8,9,4,4,4,4,0,1,0,1,1,0,0,0,0,2,1,3,0,1,4,3,0,0,2,3,1,sadness,4,4,410214,"My grandmother died, and my mother called me one sunday morning à in the Autumn.  The way my mother told me about it, I hated her à at that moment.  She sounded as if she had been waiting for the à death of my grandmother.  I had lost a person close to me.  I à felt guilty too as I had been bad to my grandmother of late.  I had not à remained calm when she no longer understood everything so well.",1
41061,1,4,61,2,20,1,2,5,5,1,4,4,4,4,1,0,-1,1,1,0,1,0,0,1,1,3,3,1,1,3,1,2,2,0,1,sadness,4,4,410614,"After hearing about the death of my grandfather.  First I could à not believe it, but later I wept and felt the situation was à hopeless.  I felt lonely and wanted to be consolated.",1
41062,1,4,62,2,19,6,1,7,1,0,1,1,4,4,0,0,2,3,1,1,0,0,2,1,2,3,1,1,1,5,3,1,3,2,0,joy,4,4,410621,"I met a dear friend of mine after a long time.  I expressed my feelings à in our own usual way, by mutual scolding and abusing (with à complete understanding) and by touching, patting and taking the à hand of the other person, etc...",1
41062,1,4,62,2,19,6,1,7,1,0,2,3,4,4,2,1,-1,4,0,1,1,0,2,3,2,3,3,1,4,3,1,1,3,0,2,fear,4,4,410622,"I felt fear of the purest kind after a car accident.  The à incident and images of horror kept coming back to my mind.  I à wondered what could have happened to my sister, my friend and me, à though nothing very serious actually happened.",1
41062,1,4,62,2,19,6,1,7,1,0,4,3,4,4,3,1,2,2,0,0,1,0,0,1,2,3,3,2,1,1,1,1,1,0,2,sadness,4,4,410624,"My sweetheart left me, or rather we decided to break it off by à mutual consent.  The consequences were - unrestrained weeping, à feelings of loneliness, hopelessness and disconsolation.  I felt à that I should find a friend, to talk to joyfully and to forget.",1
11063,1,1,63,1,26,1,2,5,1,2,2,3,4,4,1,1,-1,3,0,0,0,0,0,1,1,3,0,1,1,1,1,0,0,2,1,fear,4,4,110632,When my dog ran out on thin ice last spring.,1
11066,1,1,66,1,32,8,0,4,6,2,1,1,3,4,2,0,2,1,1,1,0,0,0,1,2,1,1,1,1,4,1,3,3,3,0,joy,3,4,110661,When I met an old schhol friend (school love) who works in à Sk+vde.,1
11071,1,1,71,2,34,1,2,5,4,2,2,3,3,4,2,0,0,1,0,0,0,0,0,1,1,3,0,0,4,2,0,0,0,1,0,fear,3,4,110712,I was driving and a deer suddenly appeared in front of the à car when there was a lot of traffic behind me.,1
11071,1,1,71,2,34,1,2,5,4,2,3,1,3,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,2,0,0,1,anger,3,4,110713,I saw a report on T.V news on apartheid in South Africa. ,1
11072,1,1,72,1,27,1,2,4,4,2,2,4,4,4,2,0,-1,0,0,0,0,0,0,2,1,3,2,1,1,1,3,2,2,0,0,fear,4,4,110722,When I nearly collided with another car.,1
11026,1,1,26,1,35,1,2,4,6,1,1,3,4,4,0,0,1,1,0,1,0,0,0,1,3,1,1,1,1,5,1,3,3,3,0,joy,4,4,110261,When I was finally qualified for my profession.,1
11026,1,1,26,1,35,1,2,4,6,1,2,3,4,4,1,0,0,0,0,0,0,0,0,1,1,3,2,3,3,1,3,2,1,1,0,fear,4,4,110262,Someone attacked me with a knife.,1
11026,1,1,26,1,35,1,2,4,6,1,3,4,4,4,1,0,0,1,0,0,0,0,2,2,1,3,2,3,3,1,3,1,1,3,0,anger,4,4,110263,Someone drove into my car and then denied that it had happened.,1
11028,1,1,28,1,34,8,2,4,1,1,3,2,4,4,0,0,0,2,0,0,0,0,2,1,1,3,3,3,3,5,3,3,1,3,0,anger,4,4,110283,My car had been towed away by the traffic police because it had à been wrongly parked.  However the sign had been put up only after à I had already parked.,1
11028,1,1,28,1,34,8,2,4,1,1,5,4,3,4,1,1,0,2,-1,0,0,0,0,1,1,3,3,3,3,5,3,1,1,0,1,disgust,3,4,110285,I was forced to stay in the canteen and eat the food that I had à not asked for but got it anyway.,1
11029,1,1,29,2,32,1,2,4,4,1,2,4,4,4,4,0,-1,3,0,0,0,1,2,1,1,3,0,1,0,5,3,1,1,0,0,fear,4,4,110292,My 2 year old daughter disappeared in a moment of inattention; I à was responsible for her.,1
11029,1,1,29,2,32,1,2,4,4,1,4,4,3,4,0,1,0,1,1,1,0,0,0,3,2,2,3,1,0,3,1,1,2,0,1,sadness,3,4,110294,"I wanted to be pregnant and did not succeed, so I was depressed    à at every menstruation.",1
11029,1,1,29,2,32,1,2,4,4,1,5,2,1,4,1,2,0,0,0,0,0,0,0,3,1,3,2,0,3,4,1,2,1,0,2,disgust,1,4,110295,"In a warm bus full of people, someone vomited and the whole bus à stank.",1
11029,1,1,29,2,32,1,2,4,4,1,6,3,3,4,3,0,-1,0,1,0,0,0,0,2,1,3,2,2,0,1,3,1,1,0,0,shame,3,4,110296,"I complained about a colleague's behaviour as she goes back on à her word, is often absent and is irresponsible.  I found out that à she was an alcoholic and was trying to fight againt her à addiction.",1
11029,1,1,29,2,32,1,2,4,4,1,7,2,4,4,2,1,2,0,0,0,0,0,1,3,1,3,0,2,0,1,2,1,2,0,1,guilt,4,4,110297,I spoke to my mother on the phone.  She had skin cancer and was à waiting to be operated.  I forgot to ask her the date of the à operation and just before finishing our conversation she gave me à the date in passing. ,1
11030,1,1,30,2,25,8,2,7,1,1,1,3,4,4,0,0,1,1,1,1,0,0,0,1,1,1,2,1,0,1,1,3,3,0,0,joy,4,4,110301,When I was at a party I met an old friend from an adult à education course.  We had not met for 2 years but had both thought à a lot about each other.  A wonderful experience.à ,1
11030,1,1,30,2,25,8,2,7,1,1,2,4,3,4,2,1,0,0,-1,0,0,0,0,3,1,3,0,3,1,2,1,1,0,0,1,fear,3,4,110302,"When I was cycling through the park late one night, two people à jumped out of the woods and tried to stop me.  There were à shouting something at the same time.",1
11030,1,1,30,2,25,8,2,7,1,1,3,3,4,4,0,0,0,2,0,0,1,1,1,2,2,3,1,3,2,5,1,1,1,0,1,anger,4,4,110303,When close relatives tried to dissuade me from studying à Psychology because of its low status.,1
11030,1,1,30,2,25,8,2,7,1,1,4,3,3,4,0,0,0,1,-1,0,0,0,1,3,2,3,3,2,0,2,1,1,2,1,0,sadness,3,4,110304,I had a long discussion on politics with an acquaintance.  He à was more knowledgeable than me and I failed to explain my point à of view and was misunderstood so I felt depressed and left.,1
11030,1,1,30,2,25,8,2,7,1,1,5,2,3,4,0,1,0,0,0,0,0,0,1,1,0,3,0,3,3,4,3,0,0,0,1,disgust,3,4,110305,When I read a newspaper article on a young girl who had been à raped and assaulted one night by several men when she was unconscious.,1
11030,1,1,30,2,25,8,2,7,1,1,6,4,4,4,2,1,2,1,-1,0,0,0,0,3,2,3,3,3,2,2,1,1,1,0,1,shame,4,4,110306,My mother revealed personal details about me and the à negative aspects of my character to other people when I was à present but unable to defend myself.,1
11030,1,1,30,2,25,8,2,7,1,1,7,4,4,4,1,1,2,1,-1,0,1,0,0,3,2,2,3,2,1,5,1,1,1,0,2,guilt,4,4,110307,I was unfaithful to my partner once when he was working abroad à for a long period.,1
11031,1,1,31,2,20,1,1,8,8,1,4,3,4,4,0,2,0,3,1,1,1,0,0,2,3,3,1,1,1,5,1,3,2,1,3,sadness,4,4,110314,"When I left New York, and all my family and my friends behind me.",1
11032,1,1,32,2,25,1,1,6,1,1,1,1,3,4,0,0,1,1,0,1,0,0,0,1,0,1,1,1,2,4,1,3,3,3,0,joy,3,4,110321,When my son returned from mountaineering - healthy in body and à soul.,1
11032,1,1,32,2,25,1,1,6,1,1,2,1,4,4,0,0,-1,0,0,0,0,0,0,2,0,2,2,2,1,5,1,2,2,0,0,fear,4,4,110322,When one meets new people with whom one is forced to collaborate à with.,1
11033,1,1,33,2,27,1,2,5,6,1,3,4,4,4,4,1,2,5,1,0,1,1,2,1,1,3,3,1,2,1,1,1,1,3,2,anger,4,4,110333,When I found out that the guy I was dating at a particular time à had a steady relationship going on with someone else for a long à time.,1
11033,1,1,33,2,27,1,2,5,6,1,4,3,4,4,0,1,-1,1,0,0,1,0,0,1,1,3,0,1,4,1,1,2,0,2,2,sadness,4,4,110334,I felt sad and depressed when I heard that our cat had died.,1
11034,1,1,34,2,31,1,1,7,6,1,2,2,1,4,1,0,-1,0,-1,0,0,0,0,3,1,3,0,0,0,3,0,2,2,0,0,fear,1,4,110342,When my son has a pain in his leg (for no apparent reason).  ,1
11034,1,1,34,2,31,1,1,7,6,1,3,2,3,4,1,1,0,1,1,0,0,1,0,1,2,3,2,3,3,1,3,1,1,3,1,anger,3,4,110343,"When, after a week at school, a teacher sent a note home saying à that my son was inattentive and unable to do his lessons.",1
11034,1,1,34,2,31,1,1,7,6,1,4,3,4,4,0,0,-1,1,-1,0,1,0,0,2,1,3,3,2,3,1,2,1,1,3,1,sadness,4,4,110344,When I thought that it was going to be impossible for me to start à studying (due to wrong information from the student advisor).,1
11034,1,1,34,2,31,1,1,7,6,1,7,4,3,4,0,0,0,2,0,0,0,0,2,2,1,3,0,0,1,1,3,1,1,0,0,guilt,3,4,110347,When I lost something that was valuable to my sister.,1
11035,1,1,35,1,32,1,2,8,6,1,6,4,4,4,0,1,0,0,0,0,0,0,1,3,2,3,2,1,1,5,1,1,1,0,1,shame,4,4,110356,When I was caught stealing money from my father.,1
11035,1,1,35,1,32,1,2,8,6,1,7,4,4,4,1,0,0,0,-1,0,0,0,0,3,1,3,3,3,1,1,3,1,1,0,0,guilt,4,4,110357,I stole a coconut cake from a reception table and when I put à in my mouth I realized that the host was watching me.,1
11036,1,1,36,1,21,1,1,4,4,1,1,4,4,4,3,0,2,4,1,1,0,0,2,1,3,1,1,1,1,4,1,3,1,3,0,joy,4,4,110361,"When after 10 months of national service I was ""downgraded"" and à did not have to do the remaining 5 months.",1
11037,1,1,37,2,21,1,1,7,6,1,3,4,1,4,1,0,0,1,0,0,0,0,0,3,1,3,2,3,2,1,2,1,1,0,0,anger,1,4,110373,"When we were in high school a few guys sometimes provoked a à friend of mine.  They called her a pig and then grunted.  This à irritated most of the girls.  Once, one of the girls got angry at à my friend and said something nasty and this made me terribly à angry.",1
11038,1,1,38,2,21,8,0,7,7,1,1,2,4,4,1,1,0,1,1,1,0,0,1,1,0,2,1,0,1,5,0,3,3,3,1,joy,4,4,110381,When I got through the first day here at the department.,1
11038,1,1,38,2,21,8,0,7,7,1,2,2,2,4,2,1,0,1,1,0,0,0,1,2,1,3,0,0,4,3,3,1,0,3,1,fear,2,4,110382,When I was cycling past a parked car someone opened the door and à nearly pushed me off my bike and into the traffic.,1
11038,1,1,38,2,21,8,0,7,7,1,4,2,4,4,0,0,0,0,-1,0,0,0,0,2,0,2,0,0,0,5,0,0,3,0,0,sadness,4,4,110384,When I had to leave my mother and my sister after a week's visit.,1
11038,1,1,38,2,21,8,0,7,7,1,5,1,1,4,3,0,0,1,1,0,0,0,0,2,1,1,0,0,4,2,0,2,2,1,0,disgust,1,4,110385,When I saw a big spider from very close.,1
11039,1,1,39,2,35,0,0,8,4,1,1,4,4,4,0,1,1,1,0,0,1,0,0,1,2,1,2,1,2,5,1,3,3,3,2,joy,4,4,110391,When i was asked to be a child's godmother.,1
11040,1,1,40,2,32,8,2,7,6,1,1,1,4,4,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,3,3,3,2,0,joy,4,4,110401,When my husband suddenly came to see me at my new job and à brought some flowers and cake with him.,1
11040,1,1,40,2,32,8,2,7,6,1,2,4,4,4,3,0,2,2,0,0,0,0,1,1,1,3,3,3,0,2,3,1,0,0,0,fear,4,4,110402,When I was nearly attackad by a man who had been chasing me.,1
11040,1,1,40,2,32,8,2,7,6,1,3,4,4,4,3,0,2,4,0,0,1,1,1,1,1,3,1,3,2,0,3,3,1,3,1,anger,4,4,110403,"When my father asked me if I was a communist, at the same time he à made it clear that I should no longer see myself as his daughter.",1
11040,1,1,40,2,32,8,2,7,6,1,4,3,4,4,3,2,2,2,-1,0,0,0,0,3,2,3,3,2,0,1,2,1,1,1,2,sadness,4,4,110404,"When I applied for a job which I thought I had a good chance of à getting, I was not even granted an interview and did not get the à job.",1
11040,1,1,40,2,32,8,2,7,6,1,5,2,1,4,1,0,-1,3,1,0,1,0,0,1,2,3,1,0,0,5,3,3,0,1,1,disgust,1,4,110405,T.V features showing the violation of defenceless people.,1
11041,1,1,41,2,29,1,2,4,1,1,5,1,1,4,0,0,0,0,0,0,0,0,0,3,3,2,2,0,4,0,0,2,2,0,0,disgust,1,4,110415,Spit and vomit.,1
11042,1,1,42,1,29,1,1,1,2,0,1,1,4,4,1,0,0,1,0,1,0,0,1,3,1,1,1,0,1,5,0,3,3,0,0,joy,4,4,110421,"When I recently managed to get my first consulting assignment à ""myself"" i.e on my own initiative.",1
11042,1,1,42,1,29,1,1,1,2,0,3,1,3,4,1,0,2,1,-1,0,0,1,1,1,3,3,3,3,2,4,0,0,1,3,0,anger,3,4,110423,"When my friend, as usual, forgot the tickets at home for a à performance.  We missed it.",1
11042,1,1,42,1,29,1,1,1,2,0,6,4,4,4,2,2,-1,0,-1,0,0,0,0,3,2,3,0,1,1,2,3,1,1,0,2,shame,4,4,110426,Confession to my parents about my involvement in a moped theft.,1
11044,1,1,44,1,24,0,2,5,6,2,1,3,4,4,0,0,0,1,1,1,0,0,2,1,1,1,1,1,1,5,1,3,3,3,0,joy,4,4,110441,After my girl and I talked things over our relationship changed à and became positive.  A diificult time turned into pleasant one.,1
11044,1,1,44,1,24,0,2,5,6,2,2,4,3,4,3,0,-1,1,1,0,0,0,0,2,1,3,0,1,4,1,0,0,0,0,0,fear,3,4,110442,When we could not land our plane and we knew that the fuel was à running out.  Bad weather had already frightened us.,1
11044,1,1,44,1,24,0,2,5,6,2,3,2,4,4,1,0,-1,2,0,0,0,0,2,1,2,3,0,1,3,1,3,0,0,3,0,anger,4,4,110443,When I read about Reagan's tactical decision concerning the à South African boycott.,1
11044,1,1,44,1,24,0,2,5,6,2,4,3,4,4,1,1,-1,2,1,0,1,0,0,2,3,3,3,1,4,1,0,0,2,0,2,sadness,4,4,110444,When my half brother became seriously ill with cancer and died à later.,1
11044,1,1,44,1,24,0,2,5,6,2,5,4,3,4,1,1,-1,1,0,0,0,0,0,1,1,3,0,1,3,1,3,0,0,0,1,disgust,3,4,110445,A film were a woman was attacked and raped.  One did not see the à worst but it had the desired effect - very strong.,1
11045,1,1,45,2,26,0,2,8,4,1,2,4,1,4,2,0,0,1,0,0,1,0,0,0,1,3,0,0,1,5,0,2,1,0,1,fear,1,4,110452,I had the window open and the door was shut so that the kitten à would not go out.  My partner came in and started talking about à something and I forgot about the window and suddenly I saw the à kitten hanging from the window frame. I was rigid with fright à till I got hold of her.,1
11045,1,1,45,2,26,0,2,8,4,1,3,3,2,4,3,0,0,1,0,0,0,0,1,2,1,3,3,0,3,4,1,2,1,3,0,anger,2,4,110453,Some noisy guests arrived at the hotel.  I had been slightly à irritated earlier.  At night when I was trying to sleep they were à having a party so I went and yelled at them.  I wanted to sleep à as I had to get up early the next day.,1
